ResponseID,EmpID,SurveyWaveID,SurveyLaunchDate,SurveyDate,EngagementScore,SatisfactionScore,WorkLifeBalanceScore
RESP-000001,2304,2001-H2,2001-09-01,2001-09-09,5,5,4
RESP-000002,3456,2001-H2,2001-09-01,2001-09-02,5,4,4
RESP-000003,1780,2001-H2,2001-09-01,2001-09-06,3,4,4
RESP-000004,2949,2001-H2,2001-09-01,2001-09-03,4,4,4
RESP-000005,3757,2001-H2,2001-09-01,2001-09-03,4,4,4
RESP-000006,3083,2001-H2,2001-09-01,2001-09-08,4,4,4
RESP-000007,1433,2001-H2,2001-09-01,2001-09-06,4,4,4
RESP-000008,3869,2001-H2,2001-09-01,2001-09-06,4,3,4
RESP-000009,1737,2001-H2,2001-09-01,2001-09-07,4,4,3
RESP-000010,2804,2001-H2,2001-09-01,2001-09-14,4,4,4
RESP-000011,1386,2001-H2,2001-09-01,2001-09-13,3,3,4
RESP-000012,1552,2001-H2,2001-09-01,2001-09-02,4,4,4
RESP-000013,1733,2001-H2,2001-09-01,2001-09-03,5,4,4
RESP-000014,2166,2001-H2,2001-09-01,2001-09-09,4,4,4
RESP-000015,3234,2001-H2,2001-09-01,2001-09-11,5,4,5
RESP-000016,1697,2001-H2,2001-09-01,2001-09-02,5,4,4
RESP-000017,3948,2001-H2,2001-09-01,2001-09-03,5,4,4
RESP-000018,3290,2001-H2,2001-09-01,2001-09-07,5,5,4
RESP-000019,3604,2002-H1,2002-03-01,2002-03-01,3,3,4
RESP-000020,3234,2002-H1,2002-03-01,2002-03-13,4,4,4
RESP-000021,2804,2002-H1,2002-03-01,2002-03-13,4,4,3
RESP-000022,2949,2002-H1,2002-03-01,2002-03-05,4,4,3
RESP-000023,2304,2002-H1,2002-03-01,2002-03-14,4,4,4
RESP-000024,1771,2002-H1,2002-03-01,2002-03-02,4,4,3
RESP-000025,1780,2002-H1,2002-03-01,2002-03-09,3,3,4
RESP-000026,1733,2002-H1,2002-03-01,2002-03-01,4,3,4
RESP-000027,3373,2002-H1,2002-03-01,2002-03-07,4,4,3
RESP-000028,3975,2002-H1,2002-03-01,2002-03-10,3,4,4
RESP-000029,3082,2002-H1,2002-03-01,2002-03-07,4,5,3
RESP-000030,3757,2002-H1,2002-03-01,2002-03-14,4,4,4
RESP-000031,3724,2002-H1,2002-03-01,2002-03-08,5,4,3
RESP-000032,3151,2002-H1,2002-03-01,2002-03-04,4,4,4
RESP-000033,3290,2002-H1,2002-03-01,2002-03-06,3,4,4
RESP-000034,1983,2002-H1,2002-03-01,2002-03-10,4,3,3
RESP-000035,1306,2002-H1,2002-03-01,2002-03-13,4,5,4
RESP-000036,3083,2002-H1,2002-03-01,2002-03-07,4,3,3
RESP-000037,3056,2002-H1,2002-03-01,2002-03-10,3,4,4
RESP-000038,1697,2002-H1,2002-03-01,2002-03-04,3,3,4
RESP-000039,1433,2002-H1,2002-03-01,2002-03-12,4,4,4
RESP-000040,1211,2002-H1,2002-03-01,2002-03-10,4,4,3
RESP-000041,1041,2002-H1,2002-03-01,2002-03-02,4,4,3
RESP-000042,1393,2002-H1,2002-03-01,2002-03-06,3,4,4
RESP-000043,2166,2002-H1,2002-03-01,2002-03-07,4,3,4
RESP-000044,1552,2002-H1,2002-03-01,2002-03-13,3,3,4
RESP-000045,2944,2002-H1,2002-03-01,2002-03-14,4,4,4
RESP-000046,2238,2002-H1,2002-03-01,2002-03-04,4,4,4
RESP-000047,2741,2002-H1,2002-03-01,2002-03-10,4,4,4
RESP-000048,2166,2002-H2,2002-09-01,2002-09-12,5,3,4
RESP-000049,3060,2002-H2,2002-09-01,2002-09-06,5,4,4
RESP-000050,3290,2002-H2,2002-09-01,2002-09-09,4,5,4
RESP-000051,3083,2002-H2,2002-09-01,2002-09-12,4,3,3
RESP-000052,1020,2002-H2,2002-09-01,2002-09-14,4,4,3
RESP-000053,2304,2002-H2,2002-09-01,2002-09-05,4,4,4
RESP-000054,3645,2002-H2,2002-09-01,2002-09-07,4,4,4
RESP-000055,2949,2002-H2,2002-09-01,2002-09-08,4,4,3
RESP-000056,2046,2002-H2,2002-09-01,2002-09-10,4,5,4
RESP-000057,3857,2002-H2,2002-09-01,2002-09-04,3,4,4
RESP-000058,2741,2002-H2,2002-09-01,2002-09-05,4,3,4
RESP-000059,2766,2002-H2,2002-09-01,2002-09-14,4,4,4
RESP-000060,1393,2002-H2,2002-09-01,2002-09-09,4,4,4
RESP-000061,2783,2002-H2,2002-09-01,2002-09-03,4,5,4
RESP-000062,3757,2002-H2,2002-09-01,2002-09-06,4,4,4
RESP-000063,1211,2002-H2,2002-09-01,2002-09-12,4,4,3
RESP-000064,1971,2002-H2,2002-09-01,2002-09-05,4,4,4
RESP-000065,2238,2002-H2,2002-09-01,2002-09-12,4,4,4
RESP-000066,3948,2002-H2,2002-09-01,2002-09-06,4,4,4
RESP-000067,2804,2002-H2,2002-09-01,2002-09-03,3,4,3
RESP-000068,3604,2002-H2,2002-09-01,2002-09-03,4,3,4
RESP-000069,1041,2002-H2,2002-09-01,2002-09-03,3,3,3
RESP-000070,3566,2002-H2,2002-09-01,2002-09-14,4,5,4
RESP-000071,3843,2002-H2,2002-09-01,2002-09-04,4,5,5
RESP-000072,3456,2002-H2,2002-09-01,2002-09-03,4,4,4
RESP-000073,1656,2002-H2,2002-09-01,2002-09-07,4,5,5
RESP-000074,2117,2002-H2,2002-09-01,2002-09-11,5,5,4
RESP-000075,3151,2002-H2,2002-09-01,2002-09-04,3,3,4
RESP-000076,1582,2002-H2,2002-09-01,2002-09-06,4,3,4
RESP-000077,1083,2002-H2,2002-09-01,2002-09-05,4,4,4
RESP-000078,2729,2002-H2,2002-09-01,2002-09-14,3,4,4
RESP-000079,3834,2002-H2,2002-09-01,2002-09-12,4,4,3
RESP-000080,1528,2002-H2,2002-09-01,2002-09-05,4,3,4
RESP-000081,2944,2002-H2,2002-09-01,2002-09-05,3,4,4
RESP-000082,3234,2002-H2,2002-09-01,2002-09-10,5,4,4
RESP-000083,1983,2002-H2,2002-09-01,2002-09-05,4,4,3
RESP-000084,3272,2002-H2,2002-09-01,2002-09-01,5,4,4
RESP-000085,3309,2002-H2,2002-09-01,2002-09-02,3,4,3
RESP-000086,3798,2002-H2,2002-09-01,2002-09-10,4,3,3
RESP-000087,2785,2002-H2,2002-09-01,2002-09-12,4,4,3
RESP-000088,3373,2002-H2,2002-09-01,2002-09-09,4,4,4
RESP-000089,3647,2002-H2,2002-09-01,2002-09-05,5,5,4
RESP-000090,2968,2002-H2,2002-09-01,2002-09-09,4,4,4
RESP-000091,1058,2002-H2,2002-09-01,2002-09-05,4,4,4
RESP-000092,3983,2002-H2,2002-09-01,2002-09-02,4,4,4
RESP-000093,3056,2002-H2,2002-09-01,2002-09-04,3,4,4
RESP-000094,1771,2003-H1,2003-03-01,2003-03-08,4,4,3
RESP-000095,2826,2003-H1,2003-03-01,2003-03-11,4,4,3
RESP-000096,2968,2003-H1,2003-03-01,2003-03-03,5,4,3
RESP-000097,2238,2003-H1,2003-03-01,2003-03-07,4,4,5
RESP-000098,1393,2003-H1,2003-03-01,2003-03-01,4,4,4
RESP-000099,3855,2003-H1,2003-03-01,2003-03-09,4,4,5
RESP-000100,2587,2003-H1,2003-03-01,2003-03-09,3,4,3
RESP-000101,2729,2003-H1,2003-03-01,2003-03-04,4,4,4
RESP-000102,2785,2003-H1,2003-03-01,2003-03-12,4,4,4
RESP-000103,3183,2003-H1,2003-03-01,2003-03-03,4,3,4
RESP-000104,3272,2003-H1,2003-03-01,2003-03-03,4,4,4
RESP-000105,2166,2003-H1,2003-03-01,2003-03-04,4,4,4
RESP-000106,2804,2003-H1,2003-03-01,2003-03-07,4,4,3
RESP-000107,2823,2003-H1,2003-03-01,2003-03-09,4,4,3
RESP-000108,1058,2003-H1,2003-03-01,2003-03-07,4,4,4
RESP-000109,2304,2003-H1,2003-03-01,2003-03-01,4,4,4
RESP-000110,1594,2003-H1,2003-03-01,2003-03-01,5,5,4
RESP-000111,3724,2003-H1,2003-03-01,2003-03-13,4,4,4
RESP-000112,3647,2003-H1,2003-03-01,2003-03-08,5,4,5
RESP-000113,2836,2003-H1,2003-03-01,2003-03-09,3,4,4
RESP-000114,3645,2003-H1,2003-03-01,2003-03-13,4,4,4
RESP-000115,2322,2003-H1,2003-03-01,2003-03-02,3,3,3
RESP-000116,3757,2003-H1,2003-03-01,2003-03-05,4,3,4
RESP-000117,3290,2003-H1,2003-03-01,2003-03-07,5,4,4
RESP-000118,1971,2003-H1,2003-03-01,2003-03-07,4,3,4
RESP-000119,3843,2003-H1,2003-03-01,2003-03-12,5,4,4
RESP-000120,3986,2003-H1,2003-03-01,2003-03-11,4,4,4
RESP-000121,1983,2003-H1,2003-03-01,2003-03-13,4,4,4
RESP-000122,1306,2003-H1,2003-03-01,2003-03-11,4,4,4
RESP-000123,3056,2003-H1,2003-03-01,2003-03-11,3,4,3
RESP-000124,1338,2003-H1,2003-03-01,2003-03-09,4,3,4
RESP-000125,2944,2003-H1,2003-03-01,2003-03-10,3,4,4
RESP-000126,2046,2003-H1,2003-03-01,2003-03-12,4,4,4
RESP-000127,2949,2003-H1,2003-03-01,2003-03-02,4,4,4
RESP-000128,2117,2003-H1,2003-03-01,2003-03-06,5,5,4
RESP-000129,1211,2003-H1,2003-03-01,2003-03-05,4,3,3
RESP-000130,2510,2003-H1,2003-03-01,2003-03-11,4,3,3
RESP-000131,3099,2003-H1,2003-03-01,2003-03-06,3,4,4
RESP-000132,2560,2003-H1,2003-03-01,2003-03-10,4,4,4
RESP-000133,3373,2003-H1,2003-03-01,2003-03-09,3,4,4
RESP-000134,3082,2003-H1,2003-03-01,2003-03-13,4,4,3
RESP-000135,1737,2003-H1,2003-03-01,2003-03-12,4,5,3
RESP-000136,3834,2003-H1,2003-03-01,2003-03-05,3,5,3
RESP-000137,3862,2003-H1,2003-03-01,2003-03-13,4,4,3
RESP-000138,3060,2003-H1,2003-03-01,2003-03-08,4,4,4
RESP-000139,3857,2003-H1,2003-03-01,2003-03-03,3,3,4
RESP-000140,1528,2003-H1,2003-03-01,2003-03-11,5,3,4
RESP-000141,3456,2003-H1,2003-03-01,2003-03-10,5,5,4
RESP-000142,2251,2003-H1,2003-03-01,2003-03-11,4,4,4
RESP-000143,3234,2003-H1,2003-03-01,2003-03-14,4,5,4
RESP-000144,2527,2003-H1,2003-03-01,2003-03-06,4,4,4
RESP-000145,2732,2003-H1,2003-03-01,2003-03-09,5,4,4
RESP-000146,1083,2003-H1,2003-03-01,2003-03-10,5,4,4
RESP-000147,2970,2003-H1,2003-03-01,2003-03-08,4,4,3
RESP-000148,3983,2003-H1,2003-03-01,2003-03-02,4,5,3
RESP-000149,2783,2003-H1,2003-03-01,2003-03-09,4,4,4
RESP-000150,3151,2003-H1,2003-03-01,2003-03-14,4,4,3
RESP-000151,3309,2003-H1,2003-03-01,2003-03-08,4,5,4
RESP-000152,3948,2003-H1,2003-03-01,2003-03-08,3,4,4
RESP-000153,3566,2003-H1,2003-03-01,2003-03-05,3,5,4
RESP-000154,1863,2003-H1,2003-03-01,2003-03-11,4,3,4
RESP-000155,2949,2003-H2,2003-09-01,2003-09-06,4,4,4
RESP-000156,2785,2003-H2,2003-09-01,2003-09-10,4,4,4
