TrainingRecordID,EmpID,TrainingDate,TrainingProgramName,TrainingPurpose,TrainingCategory,TrainingType,DeliveryMode,LocationCode,Trainer,TrainerGender,TrainingProvider,TrainingDurationDays,TrainingCostUSD,CompletionStatus,TrainingResult,AssessmentAttempts,FeedbackSubmitted,OverallSatisfactionScore,TrainerEvaluationScore,JobRelevanceScore,PersonalRelevanceScore,DigitalContentUsabilityScore
TRN-000001,2304,2001-02-01,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,33.84,Completed,Passed,1.0,Yes,5,,4,3,4
TRN-000002,2304,2001-02-06,Employee Onboarding,Mandatory,Onboarding,Internal,Live Online,Online,Internal Trainer 13,Male,Internal L&D,2,163.85,Incomplete,Not Applicable,,No,,,,,
TRN-000003,2304,2001-02-16,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,30.77,Cancelled,Not Taken,,No,,,,,
TRN-000004,2304,2001-03-05,Information Security,Mandatory,Information Security,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,35.35,Completed,Failed,2.0,Yes,3,,3,4,3
TRN-000005,3862,2001-04-01,Employee Onboarding,Mandatory,Onboarding,Internal,In-person,US-CT-03,Internal Trainer 01,Male,Internal L&D,2,333.07,Completed,Not Applicable,,No,,,,,
TRN-000006,2304,2001-04-02,Data Protection,Mandatory,Data Protection,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,33.98,Completed,Failed,3.0,Yes,4,,3,3,3
TRN-000007,2304,2001-04-09,Strategic Leadership,Job Required,Leadership Development,External,In-person,EXT-NYC-01,Emma Reed,Female,NorthStar Learning,3,1425.64,Completed,Not Applicable,,Yes,4,3,4,4,
TRN-000008,2804,2001-04-11,Employee Onboarding,Mandatory,Onboarding,Internal,In-person,US-MA-01,Internal Trainer 06,Female,Internal L&D,2,296.42,Cancelled,Not Applicable,,No,,,,,
TRN-000009,3290,2001-04-11,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,28.77,Incomplete,Failed,2.0,No,,,,,
TRN-000010,1552,2001-04-13,Employee Onboarding,Mandatory,Onboarding,Internal,Hybrid,US-MA-02,Internal Trainer 09,Female,Internal L&D,2,213.29,Completed,Not Applicable,,No,,,,,
TRN-000011,1552,2001-04-14,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,34.15,Completed,Failed,1.0,Yes,4,,5,4,3
TRN-000012,2804,2001-04-22,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,27.73,Completed,Passed,1.0,No,,,,,
